"","qbtag","total_path_distance","displacement","displacement_bearing","mvmt_index","treat_id","treat_fed","starting_quad","instar","m_total_path","m_displacement","alt_index"
"100",210,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"101",211,142.444392244439,72.0907372097721,301.2801798413,1.97590422511493,"Absence","Starved","SW",6,43.417050756105,21.9732567015385,0.50609740456516
"102",211.1,99.6487164020325,98.257109244376,314.515482938479,1.01416291572547,"Absence","Starved","SW",6,30.3729287593395,29.9487668976858,0.986034871216584
"103",211.2,152.879728091699,78.7841658654886,276.521270757116,1.94048799542686,"Absence","Starved","SW",6,46.5977411223499,24.0134137558009,0.515334288259807
"104",212,187.265306817385,91.1812487844106,317.882581002048,2.05376992872906,"Absence","Starved","SW",6,57.078465517939,27.7920446294883,0.486909456610281
"105",212.1,52.2788328693686,38.2391309029688,27.924425517283,1.36715536244862,"Absence","Starved","SW",6,15.9345882585835,11.6552870992249,0.731445765029197
"106",216,322.99047615724,121.173862275655,350.153369815337,2.66551276068496,"Absence","Starved","SW",6,98.4474971327268,36.9337932216197,0.375162338274843
"107",217,29.5410536384388,0,NA,NA,"Presence","Fed","NW",5,9.00411314899614,0,0
"108",218,131.665296104499,77.9670944382285,348.462008968994,1.68872903438532,"Absence","Fed","SE",6,40.1315822526513,23.7643703847721,0.59216131163635
"109",294,46.8763503560523,0,NA,NA,"Presence","Starved","NW",6,14.2879115885247,0,0
"110",295,44.7066678407172,11.2034935532395,26.1120086535904,3.99042206149976,"Absence","Starved","SE",5,13.6265923578506,3.4148248350274,0.250600057985886
"111",296,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"112",297,46.8763503560523,0,NA,NA,"Presence","Starved","NW",6,14.2879115885247,0,0
"113",298,197.991145289573,146.304745017016,289.533111134535,1.35327904277161,"Absence","Fed","SE",6,60.3477010842618,44.5936862811866,0.738945899843338
"114",299,66.2567531407312,0,NA,NA,"Presence","Starved","NW",6,20.1950583572949,0,0
"115",101,0,0,NA,NA,"Presence","Starved","NE",6,0,0,NA
"116",102,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"117",103,48.4209983095503,10.3819595016618,191.750816222056,4.66395561471799,"Absence","Fed","NW",6,14.7587202847509,3.16442125610652,0.214410273726515
"118",104,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"119",105,94.2174964386013,11.9700961194025,263.037199399681,7.87107267132823,"Absence","Fed","SE",6,28.7174929144857,3.64848529719389,0.127047486633261
"120",107,0,0,NA,NA,"Presence","Starved","SW",5,0,0,NA
"121",108,17.784368180161,3.02428393883233,162.392437041145,5.88052198135454,"Presence","Starved","SW",5,5.42067542131307,0.921801744556093,0.170052931214391
"122",111,85.0496637235985,13.7376867495815,292.806496768889,6.19097416282181,"Absence","Starved","SE",5,25.9231375029528,4.18724692127244,0.161525468157374
"123",112,26.2730304830432,15.0529114049438,22.5703332967953,1.74537866969804,"Absence","Starved","SE",5,8.00801969123158,4.58812739622686,0.572941572714995
"124",113,0,0,NA,NA,"Presence","Fed","NE",5,0,0,NA
"125",114,91.8867033289756,39.6523430921169,1.61801339389329,2.31730828908426,"Absence","Fed","SE",5,28.0070671746718,12.0860341744772,0.431535158576235
"126",115,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"127",116,36.1829434903148,8.79244064881454,227,4.11523317990133,"Absence","Fed","NW",5,11.0285611758479,2.67993590975867,0.242999595960678
"128",117,0,0,NA,NA,"Presence","Starved","NE",6,0,0,NA
"129",119,21.4674434778812,6.63193808337875,164.233880811319,3.23697887525275,"Absence","Starved","NW",5,6.5432767720582,2.02141472781384,0.308930035856943
"130",120,62.8167920644086,18.2121562948348,78.4733150891963,3.44916829437842,"Absence","Fed","NW",6,19.1465582212317,5.55106523866565,0.289924965862013
"131",121,33.0773381794048,3.08128350622414,210.065280818078,10.7349220260288,"Absence","Starved","NW",6,10.0819726770826,0.939175212697117,0.0931539137010323
"132",122,1,1,32.0000000000001,1,"Presence","Fed","SW",6,0.3048,0.3048,1
"133",123,1,1,32.0000000000001,1,"Presence","Starved","SW",6,0.3048,0.3048,1
"134",124,1,1,32.0000000000001,1,"Presence","Fed","SW",6,0.3048,0.3048,1
"135",125,72.5912424921671,60.4116570324344,309.69411610614,1.20160985574677,"Absence","Starved","NE",6,22.1258107116125,18.413473063486,0.832216875733366
"136",126,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
"137",127,1,1,32.0000000000001,1,"Presence","Fed","SW",6,0.3048,0.3048,1
"138",128,0,0,NA,NA,"Presence","Starved","SE",5,0,0,NA
"139",129,27.6185948208002,24.8613460546501,43,1.11090504754204,"Presence","Fed","SE",5,8.41814770137989,7.57773827745735,0.900166942451629
"140",130,167.423834006911,55.6933893507023,75.8103283590732,3.00617067768384,"Absence","Starved","NW",6,51.0307846053064,16.975345074094,0.332649109853758
"141",131,76.8854243809431,54.1796936436276,314.805659872394,1.41908193292241,"Absence","Starved","NE",6,23.4346773513115,16.5139706225777,0.704680946744655
"142",132,72.305168429023,64.3655108798498,315.003570443484,1.12335266885388,"Absence","Starved","NE",5,22.0386153371662,19.6186077161782,0.890192392581631
"143",132.1,96.8275445251293,64.8140887582245,321.557177423996,1.49392742195797,"Absence","Starved","NE",5,29.5130355712594,19.7553342535068,0.669376560937198
"144",133,0,0,NA,NA,"Presence","Fed","SE",6,0,0,NA
"145",134,132.676063943221,54.1796936436276,314.805659872394,2.44881532213732,"Absence","Fed","NE",6,40.4396642898938,16.5139706225777,0.408360724861523
"146",135,55.1362853648842,54.1113272791237,306.324056553084,1.01894165486781,"Absence","Starved","NE",6,16.8055397792167,16.4931325546769,0.981410461749873
"147",136,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
"148",142,93.7783801783576,47.7104983126223,73.9073065486799,1.96557117395581,"Absence","Starved","NW",6,28.5836502783634,14.5421598856873,0.508757969820778
"149",143,1,1,32.0000000000001,1,"Presence","Starved","SW",6,0.3048,0.3048,1
"150",144,20.3930461148951,1,140,20.393046114895,"Absence","Fed","NW",5,6.21580045582002,0.304800000000001,0.049036323184186
"151",145,120.40534336004,12,140,10.0337786133367,"Absence","Starved","NW",6,36.6995486561401,3.6576,0.0996633510202053
"152",137,0,0,NA,NA,"Presence","Fed","SW",6,0,0,NA
"153",138,0,0,NA,NA,"Presence","Fed","SE",6,0,0,NA
"154",139,0,0,NA,NA,"Presence","Fed","SW",6,0,0,NA
"155",140,0,0,NA,NA,"Presence","Starved","SW",6,0,0,NA
"156",141,39.570859657294,37.0169451030497,299,1.06899312050561,"Absence","Fed","NE",6,12.0611980235432,11.2827648674095,0.935459715144865
"157",146,0,0,NA,NA,"Presence","Starved","SE",5,0,0,NA
"158",147,57.0662886573114,45.5995470888955,284.959218712107,1.25146612851355,"Absence","Fed","NE",6,17.3938047827485,13.8987419526954,0.799062777022792
"159",148,65.1527676052409,0,NA,NA,"Absence","Fed","NW",6,19.8585635660774,0,0
"160",149,0,0,NA,NA,"Presence","Fed","SE",5,0,0,NA
"161",150,0,0,NA,NA,"Presence","Starved","SW",6,0,0,NA
"162",151,81.7421735370786,14.8385915610587,70.5775006612012,5.50875554467019,"Absence","Fed","NW",6,24.9150144941016,4.5228027078107,0.181529202356332
"163",152,57.0170648077809,52.087238183449,301.388318116635,1.09464557531289,"Absence","Starved","NE",6,17.3788013534116,15.8761901983153,0.913537698916077
"164",153,66.3766986204485,63.6294105664817,281.507374208763,1.04317638698062,"Absence","Fed","NE",6,20.2316177395127,19.3942443406636,0.95861065537959
"165",155,68.9231780062038,37.0169451030497,299,1.86193587326917,"Absence","Starved","NE",5,21.0077846562909,11.2827648674095,0.537075424753597
"166",159,45.1471716014778,11.7190875890131,226,3.85244766357104,"Absence","Fed","NW",6,13.7608579041304,3.57197789713118,0.259575233028097
"167",160,10.3819595016618,10.3819595016618,191.750816222056,1,"Absence","Fed","NW",5,3.16442125610652,3.16442125610652,1
"168",161,0,0,NA,NA,"Presence","Starved","SW",6,0,0,NA
"169",194,8.24140069376942,8.24140069376942,181.315425889359,1,"Absence","Starved","NW",5,2.51197893146092,2.51197893146092,1
"170",195,0,0,NA,NA,"Presence","Starved","SE",5,0,0,NA
"171",197,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
